,date,day,shift,coursecode,roomno,rollno,coursename
143,26-04-2025,Saturday,Morning,MA1201,104,2401CB33,Probability Theory and Ordinary Differential Equations
144,26-04-2025,Saturday,Morning,MA1201,104,2401CB34,Probability Theory and Ordinary Differential Equations
145,26-04-2025,Saturday,Morning,MA1201,104,2401CB35,Probability Theory and Ordinary Differential Equations
146,26-04-2025,Saturday,Morning,MA1201,104,2401CB36,Probability Theory and Ordinary Differential Equations
147,26-04-2025,Saturday,Morning,MA1201,104,2401cb37,Probability Theory and Ordinary Differential Equations
148,26-04-2025,Saturday,Morning,MA1201,104,2401CB38,Probability Theory and Ordinary Differential Equations
149,26-04-2025,Saturday,Morning,MA1201,104,2401CB39,Probability Theory and Ordinary Differential Equations
150,26-04-2025,Saturday,Morning,MA1201,104,2401CB40,Probability Theory and Ordinary Differential Equations
151,26-04-2025,Saturday,Morning,MA1201,104,2401CB41,Probability Theory and Ordinary Differential Equations
152,26-04-2025,Saturday,Morning,MA1201,104,2401CB42,Probability Theory and Ordinary Differential Equations
153,26-04-2025,Saturday,Morning,MA1201,104,2401CB43,Probability Theory and Ordinary Differential Equations
154,26-04-2025,Saturday,Morning,MA1201,104,2401CB44,Probability Theory and Ordinary Differential Equations
155,26-04-2025,Saturday,Morning,MA1201,104,2401CB45,Probability Theory and Ordinary Differential Equations
156,26-04-2025,Saturday,Morning,MA1201,104,2401CB46,Probability Theory and Ordinary Differential Equations
157,26-04-2025,Saturday,Morning,MA1201,104,2401CB48,Probability Theory and Ordinary Differential Equations
158,26-04-2025,Saturday,Morning,MA1201,104,2401CB50,Probability Theory and Ordinary Differential Equations
159,26-04-2025,Saturday,Morning,MA1201,104,2401CB51,Probability Theory and Ordinary Differential Equations
160,26-04-2025,Saturday,Morning,MA1201,104,2401CB52,Probability Theory and Ordinary Differential Equations
161,26-04-2025,Saturday,Morning,MA1201,104,2401CB53,Probability Theory and Ordinary Differential Equations
162,26-04-2025,Saturday,Morning,MA1201,104,2401CB54,Probability Theory and Ordinary Differential Equations
163,26-04-2025,Saturday,Morning,MA1201,104,2401CB55,Probability Theory and Ordinary Differential Equations
164,26-04-2025,Saturday,Morning,MA1201,104,2401CB56,Probability Theory and Ordinary Differential Equations
165,26-04-2025,Saturday,Morning,MA1201,104,2401CB57,Probability Theory and Ordinary Differential Equations
166,26-04-2025,Saturday,Morning,MA1201,104,2401CB58,Probability Theory and Ordinary Differential Equations
167,26-04-2025,Saturday,Morning,MA1201,104,2401CB59,Probability Theory and Ordinary Differential Equations
168,26-04-2025,Saturday,Morning,MA1201,104,2401CB60,Probability Theory and Ordinary Differential Equations
169,26-04-2025,Saturday,Morning,MA1201,104,2401CB61,Probability Theory and Ordinary Differential Equations
170,26-04-2025,Saturday,Morning,MA1201,104,2401CB62,Probability Theory and Ordinary Differential Equations
171,26-04-2025,Saturday,Morning,MA1201,104,2401CB63,Probability Theory and Ordinary Differential Equations
172,26-04-2025,Saturday,Morning,MA1201,104,2401CB64,Probability Theory and Ordinary Differential Equations
173,26-04-2025,Saturday,Morning,MA1201,104,2401CB65,Probability Theory and Ordinary Differential Equations
174,26-04-2025,Saturday,Morning,MA1201,104,2401CB66,Probability Theory and Ordinary Differential Equations
175,26-04-2025,Saturday,Morning,MA1201,104,2401CB67,Probability Theory and Ordinary Differential Equations
176,26-04-2025,Saturday,Morning,MA1201,104,2401CB68,Probability Theory and Ordinary Differential Equations
177,26-04-2025,Saturday,Morning,MA1201,104,2401CB69,Probability Theory and Ordinary Differential Equations
178,26-04-2025,Saturday,Morning,MA1201,104,2401CB70,Probability Theory and Ordinary Differential Equations
179,26-04-2025,Saturday,Morning,MA1201,104,2401CE01,Probability Theory and Ordinary Differential Equations
180,26-04-2025,Saturday,Morning,MA1201,104,2401CE02,Probability Theory and Ordinary Differential Equations
181,26-04-2025,Saturday,Morning,MA1201,104,2401CE03,Probability Theory and Ordinary Differential Equations
182,26-04-2025,Saturday,Morning,MA1201,104,2401CE04,Probability Theory and Ordinary Differential Equations
183,26-04-2025,Saturday,Morning,MA1201,104,2401CE05,Probability Theory and Ordinary Differential Equations
184,26-04-2025,Saturday,Morning,MA1201,104,2401CE06,Probability Theory and Ordinary Differential Equations
185,26-04-2025,Saturday,Morning,MA1201,104,2401CE07,Probability Theory and Ordinary Differential Equations
186,26-04-2025,Saturday,Morning,MA1201,104,2401CE08,Probability Theory and Ordinary Differential Equations
187,26-04-2025,Saturday,Morning,MA1201,104,2401CE09,Probability Theory and Ordinary Differential Equations
188,26-04-2025,Saturday,Morning,MA1201,104,2401CE10,Probability Theory and Ordinary Differential Equations
189,26-04-2025,Saturday,Morning,MA1201,104,2401CE11,Probability Theory and Ordinary Differential Equations
190,26-04-2025,Saturday,Morning,MA1201,104,2401CE12,Probability Theory and Ordinary Differential Equations
191,26-04-2025,Saturday,Morning,MA1201,104,2401CE13,Probability Theory and Ordinary Differential Equations
192,26-04-2025,Saturday,Morning,MA1201,104,2401CE14,Probability Theory and Ordinary Differential Equations
193,26-04-2025,Saturday,Morning,MA1201,104,2401CE15,Probability Theory and Ordinary Differential Equations
194,26-04-2025,Saturday,Morning,MA1201,104,2401CE16,Probability Theory and Ordinary Differential Equations
195,26-04-2025,Saturday,Morning,MA1201,104,2401CE17,Probability Theory and Ordinary Differential Equations
196,26-04-2025,Saturday,Morning,MA1201,104,2401CE18,Probability Theory and Ordinary Differential Equations
197,26-04-2025,Saturday,Morning,MA1201,104,2401CE19,Probability Theory and Ordinary Differential Equations
198,26-04-2025,Saturday,Morning,MA1201,104,2401CE20,Probability Theory and Ordinary Differential Equations
199,26-04-2025,Saturday,Morning,MA1201,104,2401CE21,Probability Theory and Ordinary Differential Equations
200,26-04-2025,Saturday,Morning,MA1201,104,2401CE22,Probability Theory and Ordinary Differential Equations
201,26-04-2025,Saturday,Morning,MA1201,104,2401CE23,Probability Theory and Ordinary Differential Equations
202,26-04-2025,Saturday,Morning,MA1201,104,2401CE24,Probability Theory and Ordinary Differential Equations
203,26-04-2025,Saturday,Morning,MA1201,104,2401CE25,Probability Theory and Ordinary Differential Equations
204,26-04-2025,Saturday,Morning,MA1201,104,2401CE26,Probability Theory and Ordinary Differential Equations
205,26-04-2025,Saturday,Morning,MA1201,104,2401CE27,Probability Theory and Ordinary Differential Equations
206,26-04-2025,Saturday,Morning,MA1201,104,2401CE28,Probability Theory and Ordinary Differential Equations
207,26-04-2025,Saturday,Morning,MA1201,104,2401CE29,Probability Theory and Ordinary Differential Equations
